,experiment_name,model_name,score
285,d2v_w2v_kwords_nolemma,doc2vec_200_200,0.00168
286,d2v_w2v_kwords_nolemma,doc2vec_200_300,0.00094
287,w2v_d2v_kwords_lemmatize,doc2vec_200_10,-0.00052
288,d2v_w2v_kwords_nolemma,doc2vec_200_100,-0.00066
289,w2v_d2v_kwords_lemmatize,doc2vec_200_100,-0.00130
290,w2v_d2v_kwords_lemmatize,doc2vec_200_50,-0.00287
291,w2v_d2v_kwords_lemmatize,doc2vec_200_200,-0.00300
292,d2v_w2v_kwords_nolemma,doc2vec_200_50,-0.00335
293,w2v_d2v_kwords_lemmatize,doc2vec_200_500,-0.00397
294,d2v_w2v_kwords_nolemma,doc2vec_200_10,-0.00483
295,d2v_w2v_kwords_nolemma,doc2vec_300_300,-0.00616
296,d2v_w2v_kwords_nolemma,doc2vec_300_200,-0.00632
297,w2v_d2v_kwords_lemmatize,doc2vec_300_500,-0.00716
298,w2v_d2v_kwords_lemmatize,doc2vec_300_50,-0.00796
299,w2v_d2v_kwords_lemmatize,doc2vec_300_10,-0.00881
300,d2v_w2v_kwords_nolemma,doc2vec_300_100,-0.00946
301,d2v_w2v_kwords_nolemma,doc2vec_300_10,-0.00958
302,d2v_w2v_kwords_nolemma,doc2vec_300_50,-0.01022
303,w2v_d2v_kwords_lemmatize,doc2vec_300_200,-0.01142
304,w2v_d2v_kwords_lemmatize,doc2vec_300_100,-0.01457
305,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,1)",-0.02126
306,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,2)",-0.02126
307,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,3)",-0.02126
308,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,4)",-0.02126
309,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,5)",-0.02126
310,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,2)",-0.02126
311,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,3)",-0.02126
312,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,4)",-0.02126
313,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,5)",-0.02126
314,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(3,3)",-0.02126
315,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(3,4)",-0.02126
316,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(3,5)",-0.02126
317,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(4,4)",-0.02126
318,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(4,5)",-0.02126
319,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(5,5)",-0.02126
320,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,1)",-0.02689
321,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,2)",-0.02689
322,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,3)",-0.02689
323,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,4)",-0.02689
324,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,5)",-0.02689
325,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,2)",-0.02689
326,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,3)",-0.02689
327,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,4)",-0.02689
328,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,5)",-0.02689
329,ud_pipe_nazev_anotace_stopwords,"tf-idf_(3,3)",-0.02689
330,ud_pipe_nazev_anotace_stopwords,"tf-idf_(3,4)",-0.02689
331,ud_pipe_nazev_anotace_stopwords,"tf-idf_(3,5)",-0.02689
332,ud_pipe_nazev_anotace_stopwords,"tf-idf_(4,4)",-0.02689
333,ud_pipe_nazev_anotace_stopwords,"tf-idf_(4,5)",-0.02689
334,ud_pipe_nazev_anotace_stopwords,"tf-idf_(5,5)",-0.02689
