Experiment@Obor@Model@Kód vstupního projektu@Pořadí@Klíčová slova@Název česky@Míra podobnosti
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@DF11P01OVV008@0@high-performance lime mortars; pseudo-ductility; salt resistance; internal hydrophobicity; micromechanics-based material design; fiber reinforcement; cocciopesto; metakaolin additive; oil additive@Vysokohodnotné a kompatibilní vápenné malty pro extrémní aplikaci při restaurování, opravách a preventivní údržbě architektonického dědictví@1.0
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@DF11P01OVV008@1@building material@SUPMAT - Podpora vzdělávání pracovníků center pokročilých stavebních materiálů@0.4684000015258789
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@DF11P01OVV008@2@monoklonární protilátky; ELISA; diagnostika; imunoprofylaxe; infekce; PCR@Diferenciální diagnostika calicivirových infekcí králíků a zajíců@0.44940000772476196
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@DF11P01OVV008@3@implant materials; trombocytes; blood plasma; blood serum; osteoblasts; leukocytes; adhesion; syntetic activity@Vliv biologické úpravy povrchu vybraných implantačních materiálů na adhezi a syntetickou aktivitu kostních i zánětlivých buněk. Studie in vitro.@0.44859999418258667
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@DF11P01OVV008@4@exocyst; exocytosis; auxin; transport; polarization; PIN; proteins@The exocyst, secretory vesicles tethering complex, in auxin transport polarization@0.4429999887943268
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@DF11P01OVV008@5@mold; foundry; binder; geopolymer; self-hardening; mixture@Výzkum nové technologie slévárenských forem ze samotuhnoucích směsí využívajících geopolymerní pojivový systém.@0.4361000061035156
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@GP13-39515P@0@Soviet architecture; ideology; propaganda; monograph@Moskva 1937 - architektura a propaganda v západní perspektivě@1.0
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@GP13-39515P@1@Liver Cirrhosis; Nutrition; Infection@Vliv definované nutriční podpory na výskyt infekčních komplikací u nemocných s jaterní cirhozou@0.5572999715805054
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@GP13-39515P@2@light-sensitive documents@Zpracování postupu na záchranu světlocitlivých archivních dokumentů na skleněné podložce (deskové negativy), jejich ošetření, archivaci (dlouhodobé uložení), zabezpečení a zpřístupnění.@0.5361999869346619
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@GP13-39515P@3@Research; Development and Innovation; European Research Area; Horizon 2020@Česká styčná kancelář pro výzkum, vývoj a inovace@0.5174999833106995
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@GP13-39515P@4@mitochondria; respiratory chain; cytochrome c oxidase; COX4; hypoxia; oxidative stress; CRISPR@Úloha izoforem podjednotky 4 cytochrom c oxidázy při regulaci mitochondriální  produkce energie a oxidativního stresu@0.5156000256538391
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@GP13-39515P@5@knihovna; knihovní systém; CESNET@Centrum vědeckých informací na Ostravské univerzitě@0.4952000081539154
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@IBS8033202@0@documentation; edition; epigraphy; inscription; methodology; monument@Zpracování epigrafických artefaktů pro praxi památkové péče - strukturovaný metodický a věcný materiál s obrazovou dokumentací@1.0
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@IBS8033202@1@The; Thematic; Catalogue; Musical; Sources@Tematický hudební katalog hudebních pramenů bývalého literátského bratrstva v Rokycanech od 2. poloviny XVI. století do 1. třetiny XVII. století@0.5734000205993652
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@IBS8033202@2@the presidential decrees@Dekrety prezidenta republiky z let 1940-1945@0.5540000200271606
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@IBS8033202@3@soil; ecology@Vliv diversity vegetace na společenstvo půdních mikroorganismů v lesích s různou intenzitou managementu@0.5519999861717224
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@IBS8033202@4@Leishmania; macrophage; susceptibility; infection; mouse; phagocytosis@Analýza interakce parazitů Leishmania major s makrofágy vnímavých a rezistentních myších kmenů.@0.5379999876022339
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@IBS8033202@5@soil ecology microbiology@Půdní procesy a mikrobní společenstva se vztahem k cyklům C a N v průběhu regenerace horského smrkového lesa po kůrovcové kalamitě@0.5217999815940857
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@PK99P04OPP020@0@Fortification; army engeneers command; Moravia; Silesia; late 1930´s; documentation; construction of the czechoslovak fortifications@Terénní průzkum čsl. opevnění z let 1935-1938. Severní Morava. Okresy Jeseník a Šumperk.@1.0
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@PK99P04OPP020@1@documentation; modernism; cubism; Emil Fialla; Pablo Picasso; Avant-Garde; Vincenc Kramář; expressionism; database@Digitalizace fotodokumentace Emila Filly včetně fotografií Josefa Sudka z pozůstalosti V. Kramáře z fondů ÚDU AV ČR@0.49720001220703125
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@PK99P04OPP020@2@Jews; monument; Jewish quarter; synagogue; Jewish cemetery; gravestone@Židovské památky Moravy a Slezska@0.4867999851703644
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@PK99P04OPP020@3@focused shock wave; electrical discharges; cavitation; lithotripsy; cancer theraphy@Generace fokusovaných rázových vln impulzními elektrickými výboji ve vodě a jejich využití v medicíně@0.454800009727478
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@PK99P04OPP020@4@folk costume; jewellery; amulet; folk; Czech lands; Central Europe@Lidový a zlidovělý šperk v českých zemích@0.44670000672340393
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@PK99P04OPP020@5@methodology; foot measurement; database; deformities; shoe last; digital image processing@Individuální zdravé obouvání@0.43529999256134033
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@RK01P03OMG027@0@glass; studio glass@Česká ateliérová sklářská tvorba 20. století - sbírka Východočeského muzea v Pardubicích.@1.0
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@RK01P03OMG027@1@public administration; public policy; information system; communication@Koncepce zlepšení komunikace mezi ústřední státní správou a samosprývnými orgány@0.7099000215530396
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@RK01P03OMG027@2@machine-tools@VaV speciálních obráběcích a frézovacích strojů II@0.7006000280380249
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@RK01P03OMG027@3@security system@Rozšíření funkcionalit zabezpečovacího systému DOMINUS 3@0.680899977684021
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@RK01P03OMG027@4@penetration test; security@Modulární aplikace pro komplexní realizaci bezpečnostních penetračních testů a správu IT bezpečnosti@0.6395000219345093
Skupina 2@AL - Umění, architektura, kulturní dědictví@doc2vec_100_100@RK01P03OMG027@5@predictive modeling; anomaly detection@Vývoj a testování algoritmů pro prediktivní behaviorální analýzu osob překračujících vnější hranice EU@0.6308000087738037
