,experiment_name,model_name,score
246,d2v_w2v_kwords_nolemma,word2vec_(glove-twitter-25),0.01266
247,w2v_d2v_kwords_lemmatize,word2vec_100_50,0.01256
248,w2v_d2v_kwords_lemmatize,doc2vec_50_100,0.01256
249,d2v_w2v_kwords_nolemma,word2vec_25,0.01251
250,w2v_d2v_kwords_lemmatize,word2vec_25_100,0.01222
251,d2v_w2v_kwords_nolemma,word2vec_50,0.01211
252,d2v_w2v_kwords_nolemma,word2vec_100,0.01210
253,d2v_w2v_kwords_nolemma,word2vec_(glove-twitter-50),0.01194
254,w2v_d2v_kwords_lemmatize,word2vec_100_25,0.01180
255,w2v_d2v_kwords_lemmatize,doc2vec_50_50,0.01157
256,w2v_d2v_kwords_lemmatize,word2vec_50_25,0.01145
257,w2v_d2v_kwords_lemmatize,word2vec_25_25,0.01142
258,w2v_d2v_kwords_lemmatize,doc2vec_25_200,0.01135
259,w2v_d2v_kwords_lemmatize,doc2vec_25_100,0.01131
260,w2v_d2v_kwords_lemmatize,doc2vec_100_500,0.01117
261,w2v_d2v_kwords_lemmatize,word2vec_200_100,0.01116
262,w2v_d2v_kwords_lemmatize,word2vec_200_50,0.01113
263,w2v_d2v_kwords_lemmatize,doc2vec_100_200,0.01101
264,w2v_d2v_kwords_lemmatize,word2vec_25_10,0.01098
265,w2v_d2v_kwords_lemmatize,doc2vec_100_100,0.01087
266,d2v_w2v_kwords_nolemma,doc2vec_100_100,0.01086
267,w2v_d2v_kwords_lemmatize,word2vec_100_10,0.01086
268,w2v_d2v_kwords_lemmatize,word2vec_25_50,0.01065
269,d2v_w2v_kwords_nolemma,doc2vec_50_100,0.01056
270,w2v_d2v_kwords_lemmatize,word2vec_50_10,0.01029
271,w2v_d2v_kwords_lemmatize,doc2vec_100_50,0.00985
272,d2v_w2v_kwords_nolemma,word2vec_200,0.00926
273,d2v_w2v_kwords_nolemma,doc2vec_25_50,0.00910
274,d2v_w2v_kwords_nolemma,doc2vec_50_50,0.00871
275,w2v_d2v_kwords_lemmatize,doc2vec_25_50,0.00868
276,d2v_w2v_kwords_nolemma,doc2vec_50_10,0.00818
277,w2v_d2v_kwords_lemmatize,doc2vec_25_10,0.00808
278,d2v_w2v_kwords_nolemma,doc2vec_100_50,0.00795
279,w2v_d2v_kwords_lemmatize,doc2vec_100_10,0.00764
280,w2v_d2v_kwords_lemmatize,doc2vec_50_10,0.00725
281,w2v_d2v_kwords_lemmatize,word2vec_200_25,0.00651
282,d2v_w2v_kwords_nolemma,doc2vec_200_200,0.00566
283,d2v_w2v_kwords_nolemma,doc2vec_25_10,0.00565
284,w2v_d2v_kwords_lemmatize,word2vec_200_10,0.00512
285,d2v_w2v_kwords_nolemma,doc2vec_100_10,0.00504
286,d2v_w2v_kwords_nolemma,doc2vec_200_300,0.00375
287,d2v_w2v_kwords_nolemma,doc2vec_200_100,0.00242
288,d2v_w2v_kwords_nolemma,doc2vec_200_50,0.00065
289,w2v_d2v_kwords_lemmatize,doc2vec_200_10,-0.00077
290,d2v_w2v_kwords_nolemma,doc2vec_200_10,-0.00179
291,w2v_d2v_kwords_lemmatize,doc2vec_200_100,-0.00292
292,d2v_w2v_kwords_nolemma,doc2vec_300_200,-0.00336
293,w2v_d2v_kwords_lemmatize,doc2vec_200_200,-0.00408
294,w2v_d2v_kwords_lemmatize,doc2vec_200_50,-0.00446
295,w2v_d2v_kwords_lemmatize,doc2vec_200_500,-0.00467
296,d2v_w2v_kwords_nolemma,doc2vec_300_300,-0.00518
297,w2v_d2v_kwords_lemmatize,doc2vec_300_500,-0.00618
298,d2v_w2v_kwords_nolemma,doc2vec_300_10,-0.00727
299,d2v_w2v_kwords_nolemma,doc2vec_300_50,-0.00755
300,d2v_w2v_kwords_nolemma,doc2vec_300_100,-0.00878
301,w2v_d2v_kwords_lemmatize,doc2vec_300_10,-0.00964
302,w2v_d2v_kwords_lemmatize,doc2vec_300_50,-0.01046
303,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,1)",-0.01111
304,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,2)",-0.01111
305,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,3)",-0.01111
306,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,4)",-0.01111
307,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(1,5)",-0.01111
308,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,2)",-0.01111
309,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,3)",-0.01111
310,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,4)",-0.01111
311,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(2,5)",-0.01111
312,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(3,3)",-0.01111
313,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(3,4)",-0.01111
314,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(3,5)",-0.01111
315,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(4,4)",-0.01111
316,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(4,5)",-0.01111
317,tf_w2v_d2v_fast_eng_n_a_kwords_2,"tf-idf_(5,5)",-0.01111
318,w2v_d2v_kwords_lemmatize,doc2vec_300_200,-0.01245
319,w2v_d2v_kwords_lemmatize,doc2vec_300_100,-0.01625
320,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,1)",-0.02257
321,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,2)",-0.02257
322,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,3)",-0.02257
323,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,4)",-0.02257
324,ud_pipe_nazev_anotace_stopwords,"tf-idf_(1,5)",-0.02257
325,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,2)",-0.02257
326,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,3)",-0.02257
327,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,4)",-0.02257
328,ud_pipe_nazev_anotace_stopwords,"tf-idf_(2,5)",-0.02257
329,ud_pipe_nazev_anotace_stopwords,"tf-idf_(3,3)",-0.02257
330,ud_pipe_nazev_anotace_stopwords,"tf-idf_(3,4)",-0.02257
331,ud_pipe_nazev_anotace_stopwords,"tf-idf_(3,5)",-0.02257
332,ud_pipe_nazev_anotace_stopwords,"tf-idf_(4,4)",-0.02257
333,ud_pipe_nazev_anotace_stopwords,"tf-idf_(4,5)",-0.02257
334,ud_pipe_nazev_anotace_stopwords,"tf-idf_(5,5)",-0.02257
