Experiment@Model@Kód vstupního projektu@Pořadí@Klíčová slova@Název česky@Míra podobnosti
Skupina 2@doc2vec_100_100@GA13-20613S@0@Financial Sector Supervisory Models; Macroprudential Supervision; Systemic Risk Monitoring; Equilibrium Credit Growth; Non-performing Loans’ Dynamics@Institucionální struktura dohledu nad finančními službami a monitorování systémového rizika ve střední Evropě@1.0
Skupina 2@doc2vec_100_100@GA13-20613S@1@antisemitism; Czechoslovakia; Czech; lands; Slovakia; First; republic; First; world; war@Budování státu bez antisemitismu? Antisemitismus v českých zemích a na Slovensku, 1917-1923@0.41519999504089355
Skupina 2@doc2vec_100_100@GA13-20613S@2@Parliamentary history; European research; international cooperation; international organization leadership; implementing Czech innovation@„Parliaments in Transition“: prosazení české inovace v evropském výzkumu parlamentarismu@0.39980000257492065
Skupina 2@doc2vec_100_100@GA13-20613S@3@social; preferences; inequality; aversion; behavioral; economics@Formování sociálních preferencí a jejich role v ekonomickém chování@0.3808000087738037
Skupina 2@doc2vec_100_100@GA13-20613S@4@asistovaná reprodukce; ektopická gravidita; národní registr; neplodnost; stimulace; vícečetná gravidita@Prevence komplikací metod asistované reprodukce - využití analýzy dat z národního registru.@0.3783999979496002
Skupina 2@doc2vec_100_100@GA13-20613S@5@pivovarské mláto; úprava; krmení prasata; skot@Využití odpadů sladařského a pivovarnického průmyslu jako zdroje bílkovin pro výživu zvířat s ohledem na životní prostředí@0.37220001220703125
Skupina 2@doc2vec_100_100@GA14-02290S@0@Olfactory preferences; evaluative conditioning; mere exposure effect; perception bias; smell; trigeminal perception@Role trigeminální percepce ve formování čichových preferencí@1.0
Skupina 2@doc2vec_100_100@GA14-02290S@1@aberace; chromozomy; nádory; predikce; riziko; SCE@Karcinogenní riziko u profesionálně exponovaných osob se zvýšenou hladinou chromozomových aberací@0.4814000129699707
Skupina 2@doc2vec_100_100@GA14-02290S@2@fenotyp; FISH; genotyp; metylsensit; mikrodelční syndromy; p53; PCR; sekvence; SSCP; STR PCR@Mikrodeleční syndromy-vztah genotypu a fenotypu@0.4717999994754791
Skupina 2@doc2vec_100_100@GA14-02290S@3@Human Resource@Rozvoj lidských zdrojů ve vědě a výzkumu na PEF MENDELU v Brně@0.46779999136924744
Skupina 2@doc2vec_100_100@GA14-02290S@4@epipelagic fry; bathypelagic fry; perch; ruffe; zander; piscivorous fish; echosounder; ichthyoplankton@Vzorce a důvody rozdílného pelagického chování plůdku okouna: nový pohled na deklarovanou ekologickou plasticitu druhu@0.4657999873161316
Skupina 2@doc2vec_100_100@GA14-02290S@5@avian tuberculosis@Molekulární epidemiologie vybraných infekčních onemocnění zvířat@0.46230000257492065
Skupina 2@doc2vec_100_100@IAA3013006@0@diffusion; K; Na; feldspar; experiment@Definování nového živcového geospeedometru na základě experimentálních prací a jeho aplikace na vybrané horniny Českého masívu@1.0
Skupina 2@doc2vec_100_100@IAA3013006@1@spintronics; magnetic semiconductors@Nové materiály pro spintroniku: Počítačové navrhování magneticky dopovaných polovodičů@0.5242000222206116
Skupina 2@doc2vec_100_100@IAA3013006@2@E-commerce; virtual education; information service; online; consulting; SME; Internet@Mall2000 - Online obchodování po roce 2000@0.5074999928474426
Skupina 2@doc2vec_100_100@IAA3013006@3@particle physics; CERN; LHC@Výzkumná infrastruktura pro experimenty v CERN@0.5013999938964844
Skupina 2@doc2vec_100_100@IAA3013006@4@emission regulations; automotive@VÝVOJ VSTŘIKOVACÍHO SYSTÉMU PALIVA S MECHANICKÝM ŘADOVÝM ČERPADLEM A ELEKTRONICKOU REGULACÍ PRO DIESELOVÉ MOTORY PLNÍCÍ NOVÉ EMISNÍ PŘEDPISY@0.4916999936103821
Skupina 2@doc2vec_100_100@IAA3013006@5@large enterprises; banks; headquarters; regional economic power; regional development@Chronologicko-prostorový vývoj centrál velkých podniků a bank a jejich vliv na regionální rozvoj v České republice@0.4896000027656555
Skupina 2@doc2vec_100_100@LM2015084@0@geothermal energy; EGS; geology@Výzkumná infrastruktura pro geotermální energii@1.0
Skupina 2@doc2vec_100_100@LM2015084@1@LAN; Ethernet; Fast Ethernet; Cache@Zvýšení rychlosti datové sítě areálu biologických ústavů AVČR@0.6133999824523926
Skupina 2@doc2vec_100_100@LM2015084@2@virtue ethics Aquinas Thomism@Tomášova etika ctností a její novověcí následovníci@0.6111000180244446
Skupina 2@doc2vec_100_100@LM2015084@3@biomedicin biobank@BBMRI_CZ v rámci budování české části velké distribuované výzkumné infrastruktury pan-evropského významu: vytvoření a provoz sítě bank biologického materiálu pro biomedicínský výzkum@0.6086999773979187
Skupina 2@doc2vec_100_100@LM2015084@4@Prefa; Application@Prefa Aplikace@0.5981000065803528
Skupina 2@doc2vec_100_100@LM2015084@5@glukagon; hladovění; insulin; kachexie; kortisol; proteiny@Regulace syntézy a rozpadu proteinů.@0.5963000059127808
Skupina 2@doc2vec_100_100@QJ1630210@0@livestock; genetically valuable breeds of Czech origin; agrobiodiverzity; infectious diseases diagnostics; bacteria; viruses; database; reference strains@Certifikovaná kolekce referenčních kmenů virových a bakteriálních patogenů pro diagnostiku významných onemocnění skotu, prasat, ovcí, koz, koní, drůbeže, králíků, ryb a včel s ohledem na udržitelnost chovu cenných domácích plemen hospodářských zvířat@1.0
Skupina 2@doc2vec_100_100@QJ1630210@1@infrastructure; structurals funds@Vývojové pracoviště analýzy laboratorních dat a vývoj prototypu papírenského lisu@0.4494999945163727
Skupina 2@doc2vec_100_100@QJ1630210@2@rootstock@Výběr vhodných podnoží pro moderní pěstitelské systémy u jádrovin.@0.44359999895095825
Skupina 2@doc2vec_100_100@QJ1630210@3@Instrumentation; Reference database of genetic variants@Národní centrum lékařské genomiky - modernizace infrastruktury a výzkum genetické variability populace@0.4262000024318695
