Experiment@Model@Obor@Kód vstupního projektu@Pořadí@Klíčová slova@Název česky@Míra podobnosti
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@0@martensitic transformation; magnetic shape memory; Austenit; Martensit; Heuslers alloys@Fyzika martensitické transformace pro rozšíření funkcionality krystalických materiálů a nanostruktur@1.0
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@1@Basic zeolites; synthesis; characterization; alkylation@Bazická molekulová síta pro selektivní alkylaci toluenu do postranního řetězce@0.49380001425743103
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@2@Fluxgate; magnetometer; magnetic sensor; signal processing@Fluxgate magnetometr@0.49300000071525574
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@3@Nanomaterials; Nanotechnologies; Imaging techniques; Characterization; Targeted synthesis@Modernizace a upgrade VVI Nanomateriály a nanotechnologie pro ochranu životního prostředí a udržitelnou budoucnost@0.4916999936103821
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@4@nucleosides cytostatics enzyme inhibitors@Kombinatoriální a racionální přístupy pro syntézu a studium nových modifikovaných nukleosidů s cytostatickou a antimikrobiální aktivitou@0.4912000000476837
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@5@narratives; genres; motivation; emotions; resilience@Krize, prožívání a růst ve středním věku@0.4844000041484833
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@6@Shape memory alloys; multi-scale problems; mathematical modelling; generalized standard solids@Experimentálně podložené multiškálové modelování slitin s tvarovou pamětí@0.4805999994277954
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@7@adipose tissue; oxidative stress; insulin resistance; recombinant inbred strains; spontaneously hypertensive rat@Genetická a korelační analýza ektopické akumulace tuku a oxidačních/zánětlivých procesů v tukové tkáni a jejich úloha v patogenezi inzulinové rezistence@0.4713999927043915
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@8@Black Sea area; the Balkans; Thracians; Celts; Pistiros; 1st millennium BC@Černomoří, Balkán a střední Evropa: vzájemné vztahy v 1. tisíciletí př. Kr.@0.4699000120162964
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@EF15_003/0000487@9@mathematical education; literacy@Rozvíjení matematické gramotnosti v základním vzdělávání@0.46149998903274536
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@GA13-13671S@0@room temperature semiconductor radiation detectors; CdTe; (CdZn)Te; polarization@Detektory Rentgenova záření pro vysoké fotonové toky@1.0
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@GA13-13671S@1@luminescence; rare-earth; chalcogenide glasses@Chalkogenidy dotované ionty vzácných zemin - materiály pro informační technologie@0.582099974155426
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@GA13-13671S@2@luminescence rare-earth chalcogenide glasses@Chalkogenidová skla dotovaná prvka vzácných zemin - materiály pro aktivní aplikace v blízké a střední IČ oblasti@0.5577999949455261
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@GA13-13671S@3@mine; mine clearing equipment; simulation@DEMINER- Odminovací zařízení@0.5485000014305115
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@GA13-13671S@4@sustainable development indicators on local level; energy management; energy savings; renewable energy sources@Stanovení závislosti jeskynního mikroklimatu na vnějších klimatických podmínkách ve zpřístupněných jeskyních ČR@0.526199996471405
Skupina 2@doc2vec_100_100@BM - Fyzika pevných látek a magnetismus@GA13-13671S@5@sustainable development indicators on local level; energy management; energy savings; renewable energy sources@Indikátory udržitelné energetiky pro rozhodování měst a obcí, výzkum a aplikace sady místních indikátorů se zaměřením na energetiku, ekonomiku a životní prostředí@0.5097000002861023
